50	50
50	100
50	150
50	200
50	250
50	300
50	350
50	400
50	450
50	500
100	50
100	100
100	150
100	200
100	250
100	300
100	350
100	400
100	450
100	500
150	50
150	100
150	150
150	200
150	250
150	300
150	350
150	400
150	450
150	500
200	50
200	100
200	150
200	200
200	250
200	300
200	350
200	400
200	450
200	500
250	50
250	100
250	150
250	200
250	250
250	300
250	350
250	400
250	450
250	500
300	50
300	100
300	150
300	200
300	250
300	300
300	350
300	400
300	450
300	500
350	50
350	100
350	150
350	200
350	250
350	300
350	350
350	400
350	450
350	500
400	50
400	100
400	150
400	200
400	250
400	300
400	350
400	400
400	450
400	500
450	50
450	100
450	150
450	200
450	250
450	300
450	350
450	400
450	450
450	500
500	50
500	100
500	150
500	200
500	250
500	300
500	350
500	400
500	450
500	500
